time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-22T15:25:07.070Z,37.9090004,-122.0091629,8.64,0.93,md,8,228,0.05175,0.04,nc,nc73708806,2022-03-22T15:26:41.997Z,"5km E of Walnut Creek, CA",earthquake,1.13,1.17,0.18,7,automatic,nc,nc
2022-03-22T15:24:21.560Z,19.1870002746582,-155.490829467773,32.7599983215332,2.3599999,md,41,147,,0.109999999,hv,hv72959132,2022-03-22T15:27:32.220Z,"2 km SW of Pāhala, Hawaii",earthquake,0.61,1.19000006,2.01999998,22,automatic,hv,hv
2022-03-22T15:08:33.812Z,54.1225,159.67,134.68,4,mb,,123,1.258,0.26,us,us6000h6mx,2022-03-22T15:35:02.040Z,"93 km SE of Mil’kovo, Russia",earthquake,8.3,11.9,0.1,28,reviewed,us,us
2022-03-22T14:45:54.260Z,19.1908340454102,-155.467330932617,32.8300018310547,2.26999998,md,46,99,,0.140000001,hv,hv72959112,2022-03-22T14:49:08.440Z,"1 km SE of Pāhala, Hawaii",earthquake,0.64,0.790000021,1.04999995,18,automatic,hv,hv
2022-03-22T14:39:50.280Z,37.3583336,-121.7178345,7.24,1.36,md,17,61,0.04318,0.04,nc,nc73708801,2022-03-22T15:19:10.354Z,"10km E of Alum Rock, CA",earthquake,0.22,0.39,0.38,12,automatic,nc,nc
2022-03-22T14:26:08.650Z,45.4191,149.8833,83.14,4.4,mb,,134,5.18,0.33,us,us6000h6mv,2022-03-22T15:21:49.040Z,"158 km E of Kuril’sk, Russia",earthquake,5.9,7.9,0.079,49,reviewed,us,us
2022-03-22T14:25:58.330Z,35.6796667,-117.486,3.93,0.91,ml,11,161,0.09496,0.16,ci,ci39974327,2022-03-22T14:29:36.401Z,"12km SW of Searles Valley, CA",earthquake,0.61,1.16,0.051,8,automatic,ci,ci
2022-03-22T14:15:45.440Z,38.8199997,-122.7969971,3.07,1.44,md,30,30,0.01076,0.02,nc,nc73708791,2022-03-22T15:19:18.355Z,"6km NW of The Geysers, CA",earthquake,0.21,0.4,0.1,6,automatic,nc,nc
2022-03-22T14:14:14.890Z,33.4803333,-116.5203333,12.43,0.38,ml,15,89,0.07045,0.09,ci,ci39974295,2022-03-22T15:16:13.936Z,"16km ESE of Anza, CA",earthquake,0.21,0.51,0.096,4,reviewed,ci,ci
2022-03-22T14:14:09.110Z,33.483,-116.5181667,13.29,0.38,ml,14,127,0.07171,0.12,ci,ci37491613,2022-03-22T15:22:46.032Z,"16km ESE of Anza, CA",earthquake,0.32,0.59,0.083,1,reviewed,ci,ci
2022-03-22T14:10:57.065Z,40.0699,28.6157,10,4.4,mb,,52,1.424,0.54,us,us6000h6mp,2022-03-22T14:50:12.040Z,"18 km E of Mustafakemalpaşa, Turkey",earthquake,4.2,1.8,0.178,11,reviewed,us,us
2022-03-22T14:10:50.550Z,46.8691667,-112.5208333,10.63,0.58,ml,9,99,0.045,0.14,mb,mb80541209,2022-03-22T15:13:31.480Z,"15 km SE of Lincoln, Montana",earthquake,0.57,0.84,0.286,3,reviewed,mb,mb
2022-03-22T14:07:02.470Z,37.8498344,-121.9779968,8.08,2.16,md,33,105,0.01467,0.06,nc,nc73708786,2022-03-22T14:51:18.194Z,"2km NW of Diablo, CA",earthquake,0.2,0.28,0.09,29,automatic,nc,nc
2022-03-22T14:02:28.876Z,34.7065,23.1291,10,4.3,mb,,199,1.557,0.81,us,us6000h6ml,2022-03-22T14:32:03.040Z,"77 km SW of Palaióchora, Greece",earthquake,8.6,2,0.091,34,reviewed,us,us
2022-03-22T13:53:33.368Z,38.5489,-119.518,6.1,1.3,ml,13,169.9,0.037,0.1288,nn,nn00835762,2022-03-22T13:57:02.502Z,"2 km SSW of Coleville, California",earthquake,,0.5,0.19,8,automatic,nn,nn
2022-03-22T13:50:03.830Z,19.2264995574951,-155.425994873047,33.6500015258789,2.00999999,md,43,128,,0.119999997,hv,hv72959062,2022-03-22T13:53:17.190Z,"6 km ENE of Pāhala, Hawaii",earthquake,0.62,0.860000014,0.460000008,11,automatic,hv,hv
